id,compound_id,food_id,orig_source_id,orig_content,orig_unit,preparation_type,standard_content
2215df22-92a8-11ee-8750-0242ac1c000c,484,1ba64ff0-92a8-11ee-8750-0242ac1c000c,251,9.0,mg/100g,raw,9.0
2215f1e2-92a8-11ee-8750-0242ac1c000c,570,1ba64ff0-92a8-11ee-8750-0242ac1c000c,252,92.0,mg/100g,raw,92.0
22160358-92a8-11ee-8750-0242ac1c000c,753,1ba64ff0-92a8-11ee-8750-0242ac1c000c,11,0.0,mg/100g,raw,0.0
2216165e-92a8-11ee-8750-0242ac1c000c,565,1ba64ff0-92a8-11ee-8750-0242ac1c000c,26,0.55,α-TE,raw,0.55
221627de-92a8-11ee-8750-0242ac1c000c,565,1ba64ff0-92a8-11ee-8750-0242ac1c000c,27,0.55,mg/100g,raw,0.55
22163a4e-92a8-11ee-8750-0242ac1c000c,574,1ba64ff0-92a8-11ee-8750-0242ac1c000c,41,0.051,mg/100g,raw,0.051
22164bd8-92a8-11ee-8750-0242ac1c000c,474,1ba64ff0-92a8-11ee-8750-0242ac1c000c,238,13.0,mg/100g,raw,13.0
22165e0c-92a8-11ee-8750-0242ac1c000c,556,1ba64ff0-92a8-11ee-8750-0242ac1c000c,248,11.0,mg/100g,raw,11.0
22166f6e-92a8-11ee-8750-0242ac1c000c,484,1ba64ff0-92a8-11ee-8750-0242ac1c000c,251,8.0,mg/100g,raw,8.0
22168184-92a8-11ee-8750-0242ac1c000c,570,1ba64ff0-92a8-11ee-8750-0242ac1c000c,252,83.0,mg/100g,raw,83.0
2216930e-92a8-11ee-8750-0242ac1c000c,753,1ba67480-92a8-11ee-8750-0242ac1c000c,11,0.0,mg/100g,,0.0
2216a420-92a8-11ee-8750-0242ac1c000c,565,1ba67480-92a8-11ee-8750-0242ac1c000c,26,0.89,α-TE,,0.89
2216b726-92a8-11ee-8750-0242ac1c000c,565,1ba67480-92a8-11ee-8750-0242ac1c000c,27,0.89,mg/100g,,0.89
2216c8ba-92a8-11ee-8750-0242ac1c000c,574,1ba67480-92a8-11ee-8750-0242ac1c000c,41,0.054,mg/100g,,0.054
2216dabc-92a8-11ee-8750-0242ac1c000c,474,1ba67480-92a8-11ee-8750-0242ac1c000c,238,37.0,mg/100g,,37.0
2216ec46-92a8-11ee-8750-0242ac1c000c,556,1ba67480-92a8-11ee-8750-0242ac1c000c,248,26.0,mg/100g,,26.0
2216ff56-92a8-11ee-8750-0242ac1c000c,484,1ba67480-92a8-11ee-8750-0242ac1c000c,251,16.0,mg/100g,,16.0
221710cc-92a8-11ee-8750-0242ac1c000c,570,1ba67480-92a8-11ee-8750-0242ac1c000c,252,32.0,mg/100g,,32.0
221723be-92a8-11ee-8750-0242ac1c000c,753,1ba67480-92a8-11ee-8750-0242ac1c000c,11,0.0,mg/100g,dried or powder,0.0
22173548-92a8-11ee-8750-0242ac1c000c,565,1ba67480-92a8-11ee-8750-0242ac1c000c,26,4.0,α-TE,dried or powder,4.0
22174740-92a8-11ee-8750-0242ac1c000c,565,1ba67480-92a8-11ee-8750-0242ac1c000c,27,4.0,mg/100g,dried or powder,4.0
221758d4-92a8-11ee-8750-0242ac1c000c,574,1ba67480-92a8-11ee-8750-0242ac1c000c,41,0.17,mg/100g,dried or powder,0.17
22176b62-92a8-11ee-8750-0242ac1c000c,474,1ba67480-92a8-11ee-8750-0242ac1c000c,238,120.0,mg/100g,dried or powder,120.0
22177d82-92a8-11ee-8750-0242ac1c000c,556,1ba67480-92a8-11ee-8750-0242ac1c000c,248,100.0,mg/100g,dried or powder,100.0
22178eb2-92a8-11ee-8750-0242ac1c000c,484,1ba67480-92a8-11ee-8750-0242ac1c000c,251,70.0,mg/100g,dried or powder,70.0
2217a1e0-92a8-11ee-8750-0242ac1c000c,570,1ba67480-92a8-11ee-8750-0242ac1c000c,252,770.0,mg/100g,dried or powder,770.0
2217b39c-92a8-11ee-8750-0242ac1c000c,753,1ba67480-92a8-11ee-8750-0242ac1c000c,11,0.0,mg/100g,raw,0.0
2217c698-92a8-11ee-8750-0242ac1c000c,565,1ba67480-92a8-11ee-8750-0242ac1c000c,26,0.0,α-TE,raw,0.0
2217d7d2-92a8-11ee-8750-0242ac1c000c,565,1ba67480-92a8-11ee-8750-0242ac1c000c,27,0.0,mg/100g,raw,0.0
2217eae2-92a8-11ee-8750-0242ac1c000c,574,1ba67480-92a8-11ee-8750-0242ac1c000c,41,0.054,mg/100g,raw,0.054
2217fc26-92a8-11ee-8750-0242ac1c000c,474,1ba67480-92a8-11ee-8750-0242ac1c000c,238,55.0,mg/100g,raw,55.0
22180e46-92a8-11ee-8750-0242ac1c000c,556,1ba67480-92a8-11ee-8750-0242ac1c000c,248,38.0,mg/100g,raw,38.0
22182480-92a8-11ee-8750-0242ac1c000c,484,1ba67480-92a8-11ee-8750-0242ac1c000c,251,23.0,mg/100g,raw,23.0
221837e0-92a8-11ee-8750-0242ac1c000c,570,1ba67480-92a8-11ee-8750-0242ac1c000c,252,58.0,mg/100g,raw,58.0
2218496a-92a8-11ee-8750-0242ac1c000c,753,1bc2f768-92a8-11ee-8750-0242ac1c000c,11,33300.0,mg/100g,other,33300.0
22185b30-92a8-11ee-8750-0242ac1c000c,565,1bc2f768-92a8-11ee-8750-0242ac1c000c,26,0.0,α-TE,other,0.0
22186ce2-92a8-11ee-8750-0242ac1c000c,565,1bc2f768-92a8-11ee-8750-0242ac1c000c,27,0.0,mg/100g,other,0.0
22187ebc-92a8-11ee-8750-0242ac1c000c,574,1bc2f768-92a8-11ee-8750-0242ac1c000c,41,0.0,mg/100g,other,0.0
22189032-92a8-11ee-8750-0242ac1c000c,753,1bc2f768-92a8-11ee-8750-0242ac1c000c,11,32000.0,mg/100g,other,32000.0
2218a27a-92a8-11ee-8750-0242ac1c000c,565,1bc2f768-92a8-11ee-8750-0242ac1c000c,26,0.0,α-TE,other,0.0
