id,name,name_scientific,wikipedia_id,food_group,food_subgroup,food_type,culinarydb_ingredient_id,foodb_id
1bab5676-92a8-11ee-8750-0242ac1c000c,Sweet cherry,Prunus avium,Prunus avium,Fruits,Drupes,Type 1,227,145
1bab7a34-92a8-11ee-8750-0242ac1c000c,Cloudberry,Rubus chamaemorus,Cloudberry,Fruits,Berries,Type 1,228,161
1bab9dca-92a8-11ee-8750-0242ac1c000c,Gooseberry,Ribes uva-crispa,Gooseberry,Fruits,Berries,Type 1,230,157
1babc2dc-92a8-11ee-8750-0242ac1c000c,Lingonberry,Vaccinium vitis-idaea,Vaccinium vitis-idaea,Fruits,Berries,Type 1,231,194
1babe712-92a8-11ee-8750-0242ac1c000c,Loganberry,Rubus loganobaccus,Loganberry,Fruits,Berries,Type 1,232,405
1bac0e72-92a8-11ee-8750-0242ac1c000c,Strawberry,Fragaria X ananassa,Strawberry,Fruits,Berries,Type 1,234,83
1bac39ba-92a8-11ee-8750-0242ac1c000c,Grapefruit,Citrus X paradisi,Grapefruit,Fruits,Citrus,Type 1,238,256
1bac56f2-92a8-11ee-8750-0242ac1c000c,Kumquat,Fortunella,Kumquat,Fruits,Tropical fruits,Type 1,239,398
1bac74ac-92a8-11ee-8750-0242ac1c000c,Lemon,Citrus limon,Lemon,Fruits,Citrus,Type 1,240,54
1bac9158-92a8-11ee-8750-0242ac1c000c,Lime,Citrus aurantiifolia,Citrus_aurantiifolia,Fruits,Citrus,Type 1,241,53
1bacacec-92a8-11ee-8750-0242ac1c000c,Vanilla,Vanilla,Vanilla,Herbs and Spices,Spices,Type 1,245,195
1bacc876-92a8-11ee-8750-0242ac1c000c,Mushrooms,,Mushrooms,Vegetables,Mushrooms,Unknown,246,883
1bace4a0-92a8-11ee-8750-0242ac1c000c,Angelica,Angelica keiskei,Angelica,Herbs and Spices,Herbs,Type 1,248,1
1bad0214-92a8-11ee-8750-0242ac1c000c,Chervil,Anthriscus cerefolium,Chervil,Herbs and Spices,Spices,Type 1,253,332
1bad1e98-92a8-11ee-8750-0242ac1c000c,Coriander,Coriandrum sativum,Coriander,Herbs and Spices,Herbs,Type 1,254,61
1bad3b12-92a8-11ee-8750-0242ac1c000c,Cornmint,Mentha arvensis,Mentha arvensis,Herbs and Spices,Herbs,Type 1,255,111
1bad570a-92a8-11ee-8750-0242ac1c000c,Dill,Anethum graveolens,Dill,Herbs and Spices,Herbs,Type 1,256,13
1bad749c-92a8-11ee-8750-0242ac1c000c,Fennel,Foeniculum vulgare,Fennel,Herbs and Spices,Herbs,Type 1,257,82
1bad8f54-92a8-11ee-8750-0242ac1c000c,Fenugreek,Trigonella foenum-graecum,Fenugreek,Herbs and Spices,Herbs,Type 1,258,186
1badab88-92a8-11ee-8750-0242ac1c000c,Garlic,Allium sativum,Garlic,Herbs and Spices,Herbs,Type 1,259,8
